epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,384.693,1.94225,0.81289,0.96835,0.9583,0.95714,0.96652,0.42557,1.97728,0.80588,0.95173,0.0008912,0.0008912,0.0008912
58,391.419,1.96603,0.80707,0.9669,0.97541,0.97619,0.97022,0.4272,1.94141,0.7935,0.9494,0.0008714,0.0008714,0.0008714
59,398.33,1.91904,0.79404,0.9681,0.97522,0.97619,0.97465,0.42218,1.95066,0.77681,0.9457,0.0008516,0.0008516,0.0008516
60,405.089,1.89667,0.78467,0.96765,0.9752,0.97619,0.97525,0.43607,1.92335,0.78308,0.93853,0.0008318,0.0008318,0.0008318
61,411.847,1.86712,0.77554,0.95324,0.97064,0.97143,0.95698,0.41575,1.96763,0.80929,0.9534,0.000812,0.000812,0.000812
62,418.649,1.94235,0.77546,0.96869,0.95628,0.95714,0.93596,0.41508,1.95429,0.77622,0.94671,0.0007922,0.0007922,0.0007922
63,425.241,1.9207,0.77449,0.96122,0.98033,0.98095,0.97009,0.42991,1.90924,0.763,0.94186,0.0007724,0.0007724,0.0007724
64,432.081,1.95293,0.7793,0.97668,0.97533,0.97619,0.96175,0.41711,1.8955,0.78252,0.9412,0.0007526,0.0007526,0.0007526
65,438.677,1.93523,0.79662,0.97859,0.96105,0.9619,0.94886,0.41049,1.95122,0.81196,0.95314,0.0007328,0.0007328,0.0007328
66,445.325,1.88651,0.78656,0.95071,0.97555,0.97619,0.97409,0.42199,1.98031,0.79215,0.95146,0.000713,0.000713,0.000713
67,451.886,1.88694,0.77571,0.96391,0.98515,0.98571,0.98391,0.43318,1.92126,0.7568,0.9435,0.0006932,0.0006932,0.0006932
68,458.5,1.94088,0.78088,0.97265,0.98514,0.98571,0.98248,0.42139,1.92527,0.77049,0.94277,0.0006734,0.0006734,0.0006734
69,465.092,1.89339,0.75837,0.95298,0.98506,0.98571,0.98211,0.44141,1.92204,0.76095,0.9399,0.0006536,0.0006536,0.0006536
70,472.036,1.92565,0.77823,0.97845,0.98985,0.99048,0.98814,0.42772,1.98119,0.77009,0.94923,0.0006338,0.0006338,0.0006338
71,478.603,1.88378,0.76561,0.96242,0.98002,0.98095,0.98103,0.43849,1.93663,0.77246,0.94377,0.000614,0.000614,0.000614
72,485.226,1.87343,0.7831,0.96523,0.97066,0.97143,0.95691,0.43159,1.88333,0.78629,0.93738,0.0005942,0.0005942,0.0005942
73,491.875,1.91095,0.79354,0.95713,0.97082,0.97143,0.95884,0.42962,1.91786,0.7747,0.94014,0.0005744,0.0005744,0.0005744
74,498.732,1.97826,0.78745,0.96537,0.97519,0.97619,0.96685,0.44115,1.90393,0.77778,0.93662,0.0005546,0.0005546,0.0005546
75,505.476,1.93842,0.79327,0.95717,0.97957,0.98095,0.98388,0.43821,1.90103,0.77537,0.93934,0.0005348,0.0005348,0.0005348
76,511.988,1.87144,0.76427,0.9494,0.98012,0.98095,0.98022,0.42481,1.9311,0.77919,0.94467,0.000515,0.000515,0.000515
77,518.676,1.90345,0.75342,0.95285,0.98508,0.98571,0.98333,0.43409,1.92526,0.75517,0.94216,0.0004952,0.0004952,0.0004952
78,525.321,1.88037,0.7491,0.97214,0.98015,0.98095,0.98019,0.44446,1.88807,0.75871,0.93548,0.0004754,0.0004754,0.0004754
79,531.991,1.90466,0.78602,0.97245,0.96123,0.9619,0.94228,0.40494,1.98631,0.808,0.9554,0.0004556,0.0004556,0.0004556
80,538.616,1.90174,0.77912,0.97285,0.97552,0.97619,0.97371,0.44539,1.88063,0.77228,0.93543,0.0004358,0.0004358,0.0004358
81,545.28,1.89855,0.77184,0.96682,0.95639,0.95714,0.9387,0.40247,1.98878,0.82431,0.95913,0.000416,0.000416,0.000416
82,551.872,1.91676,0.77813,0.9627,0.97034,0.97143,0.97081,0.43316,1.91286,0.7767,0.94216,0.0003962,0.0003962,0.0003962
83,558.404,1.85241,0.76483,0.96479,0.98018,0.98095,0.98278,0.43722,1.89652,0.7789,0.9405,0.0003764,0.0003764,0.0003764
84,565.12,1.88684,0.77154,0.95553,0.98029,0.98095,0.98463,0.4389,1.89622,0.77283,0.93693,0.0003566,0.0003566,0.0003566
85,571.714,1.86303,0.765,0.95836,0.98507,0.98571,0.98366,0.44555,1.88476,0.77959,0.93839,0.0003368,0.0003368,0.0003368
86,578.357,1.83186,0.73656,0.95174,0.985,0.98571,0.98218,0.43514,1.89766,0.7627,0.93982,0.000317,0.000317,0.000317
87,585.217,1.87878,0.74888,0.95728,0.98512,0.98571,0.9832,0.4389,1.8729,0.76032,0.9364,0.0002972,0.0002972,0.0002972
88,591.873,1.8275,0.75646,0.94419,0.98005,0.98095,0.97943,0.43876,1.89795,0.76368,0.93774,0.0002774,0.0002774,0.0002774
89,598.658,1.88154,0.75676,0.96315,0.97541,0.97619,0.96756,0.4249,1.93415,0.78761,0.94927,0.0002576,0.0002576,0.0002576
90,605.214,1.87108,0.78368,0.96122,0.97497,0.97619,0.96504,0.43105,1.91015,0.78933,0.93874,0.0002378,0.0002378,0.0002378
91,613.043,1.81634,0.76372,0.99281,0.98036,0.98095,0.97914,0.43538,1.90764,0.77446,0.93482,0.000218,0.000218,0.000218
92,620.235,1.83171,0.76827,0.95993,0.98963,0.99048,0.99176,0.43216,1.92129,0.77665,0.93407,0.0001982,0.0001982,0.0001982
93,627.097,1.82085,0.76302,0.98497,0.98449,0.98571,0.98256,0.4411,1.90157,0.76409,0.93406,0.0001784,0.0001784,0.0001784
94,634.297,1.83685,0.75304,0.97984,0.98474,0.98571,0.97765,0.43281,1.913,0.78135,0.93312,0.0001586,0.0001586,0.0001586
95,641.117,1.84632,0.75908,0.97372,0.98497,0.98571,0.97759,0.4331,1.90792,0.77976,0.93046,0.0001388,0.0001388,0.0001388
96,648.015,1.84457,0.76444,0.97944,0.97552,0.97619,0.96376,0.41984,1.9436,0.79379,0.93737,0.000119,0.000119,0.000119
97,654.806,1.82869,0.76185,0.98928,0.98021,0.98095,0.97444,0.42471,1.92907,0.78177,0.93343,9.92e-05,9.92e-05,9.92e-05
98,661.072,1.82449,0.78001,0.97247,0.9754,0.97619,0.97007,0.43318,1.91374,0.78213,0.92865,7.94e-05,7.94e-05,7.94e-05
99,667.555,1.8355,0.77039,0.97989,0.98018,0.98095,0.97507,0.43997,1.90378,0.77791,0.92793,5.96e-05,5.96e-05,5.96e-05
100,674.314,1.80215,0.75484,0.97145,0.98022,0.98095,0.97488,0.44392,1.89957,0.77456,0.92696,3.98e-05,3.98e-05,3.98e-05
